V1,V2,V3,V4,V5,V6,V7,Class
1,0,12,0,25,10.5,33.370000000000005,1
0,0,34,0,22,10.5,33.370000000000005,1
0,0,0,0,19,10.5,33.370000000000005,1
1,0,13,0,7,10.5,33.370000000000005,1
0,0,45,0,10,10.5,33.370000000000005,1
1,0,32,0,27,10.5,33.370000000000005,1
1,0,38,0,14,10.5,33.370000000000005,1
1,0,17,0,29,10.5,33.370000000000005,1
1,0,8,0,32,10.5,33.370000000000005,1
1,0,12,0,28,10.5,33.370000000000005,1
0,0,0,0,21,10.5,33.370000000000005,1
1,0,37,0,1,10.5,33.370000000000005,1
1,0,22,0,47,10.5,33.370000000000005,1
1,0,5,0,6,10.5,33.370000000000005,1
1,0,10,0,21,10.5,33.370000000000005,1
1,0,24,0,17,10.5,33.370000000000005,1
1,0,25,0,4,10.5,33.370000000000005,1
0,0,0,0,11,10.5,33.370000000000005,1
1,0,27,0,21,10.5,33.370000000000005,1
1,0,37,0,7,10.5,33.370000000000005,1
0,0,0,0,27,10.5,33.370000000000005,1
1,0,22,0,21,10.5,33.370000000000005,1
0,0,0,0,32,10.5,33.370000000000005,1
0,0,0,0,20,10.5,33.370000000000005,1
1,0,11,0,41,10.5,33.370000000000005,1
1,0,12,0,26,10.5,33.370000000000005,1
0,0,31,0,28,10.5,33.370000000000005,1
0,0,0,0,36,10.5,33.370000000000005,1
1,0,25,0,12,10.5,33.370000000000005,1
1,0,16,0,16,11.35,33.370000000000005,1
1,0,29,0,5,11.35,33.370000000000005,1
0,0,0,0,26,11.35,34.980000000000004,1
1,0,13,0,29,11.35,34.980000000000004,1
1,0,10,0,36,11.35,34.980000000000004,1
1,0,15,0,12,11.35,34.980000000000004,1
1,0,10,0,12,11.35,34.980000000000004,1
0,0,0,0,38,11.35,34.980000000000004,1
0,0,0,0,0,11.35,34.980000000000004,1
1,0,16,0,34,11.35,34.980000000000004,1
1,0,22,0,23,11.35,34.980000000000004,1
0,0,0,0,0,11.35,34.980000000000004,1
1,0,21,0,22,11.35,34.980000000000004,1
1,0,17,0,32,11.35,34.980000000000004,1
1,0,20,0,21,11.35,34.980000000000004,1
1,0,7,0,30,11.35,34.980000000000004,1
1,0,8,0,38,11.35,34.980000000000004,1
1,0,38,0,12,11.35,34.980000000000004,1
2,0,56,0,34,11.35,34.980000000000004,1
0,0,34,0,8,11.35,34.980000000000004,1
1,0,38,0,36,11.35,34.980000000000004,1
1,0,36,0,7,11.35,34.980000000000004,1
1,0,7,0,4,11.35,34.980000000000004,1
1,0,30,0,13,11.35,34.980000000000004,1
1,0,8,0,7,11.35,34.980000000000004,1
1,0,24,0,33,12.35,34.980000000000004,1
0,0,0,0,24,12.35,34.980000000000004,1
1,0,21,0,0,12.35,34.980000000000004,1
0,0,0,0,22,12.35,34.980000000000004,1
1,0,22,0,33,12.35,34.980000000000004,1
1,0,14,0,20,12.35,34.980000000000004,1
0,0,0,0,21,12.35,34.980000000000004,1
0,0,0,0,10,12.35,34.980000000000004,1
1,0,22,0,18,3.415,18.575000000000003,2
0,0,0,0,26,12.35,34.980000000000004,1
0,0,0,0,33,12.35,34.980000000000004,1
0,0,0,0,20,12.35,34.980000000000004,1
1,0,35,0,6,3.415,18.575000000000003,2
0,0,0,0,18,12.35,34.980000000000004,1
0,0,0,0,13,12.35,34.980000000000004,1
0,0,0,0,35,12.35,34.980000000000004,1
1,0,10,0,6,3.415,18.575000000000003,2
1,0,31,0,12,3.415,18.575000000000003,2
1,0,20,0,10,3.415,18.575000000000003,2
0,0,0,0,34,12.35,34.980000000000004,1
0,0,0,0,24,12.35,34.980000000000004,1
0,0,47,0,30,12.35,34.980000000000004,1
1,0,17,0,20,3.415,18.575000000000003,2
1,0,20,0,49,3.415,18.575000000000003,2
1,0,32,0,11,3.415,18.575000000000003,2
1,0,7,0,36,3.415,18.575000000000003,2
2,0,45,0,38,12.35,34.980000000000004,1
1,0,32,0,27,3.415,18.575000000000003,2
1,0,60,0,6,3.415,18.575000000000003,2
0,0,0,0,30,12.35,34.980000000000004,1
1,0,18,0,14,3.415,27.63,2
1,0,12,0,27,3.415,27.63,2
1,0,17,0,27,3.415,27.63,2
1,0,17,0,0,3.415,27.63,2
0,0,0,0,29,12.35,34.980000000000004,1
1,0,32,0,31,3.415,27.63,2
1,0,18,0,28,3.415,27.63,2
0,0,0,0,0,12.35,34.980000000000004,1
1,0,5,0,33,3.415,29.652,2
1,0,26,0,9,3.415,29.652,2
2,0,45,0,31,12.35,34.980000000000004,1
1,0,20,0,10,3.415,29.652,2
3,0,53,0,30,12.35,34.980000000000004,1
0,0,9,0,36,12.35,34.980000000000004,1
1,0,21,0,16,3.415,29.652,2
0,0,0,0,42,12.35,34.980000000000004,1
1,0,12,0,18,3.415,29.652,2
0,0,0,0,42,12.35,34.980000000000004,1
1,0,26,0,25,3.415,29.652,2
0,0,0,0,4,12.35,36.45,1
1,0,35,0,20,3.415,29.652,2
1,0,31,0,20,3.415,29.652,2
1,0,16,0,8,3.415,29.652,2
1,0,7,0,20,3.415,29.652,2
0,0,0,0,41,12.35,36.45,1
0,0,0,0,7,12.35,36.45,1
1,0,22,0,25,3.415,29.652,2
0,0,0,0,14,12.35,36.45,1
1,0,25,0,17,3.415,29.652,2
1,0,8,0,18,3.415,29.652,2
0,0,0,0,6,12.35,36.45,1
1,0,32,0,10,3.415,29.652,2
3,0,53,0,24,12.35,36.45,1
0,0,0,0,30,12.35,36.45,1
1,0,7,0,15,3.415,29.652,2
1,0,15,0,1,3.415,29.652,2
2,0,45,0,24,12.35,36.45,1
1,0,25,0,40,3.415,29.652,2
3,0,46,0,27,12.35,36.45,1
0,0,0,0,16,12.35,36.45,1
1,0,22,0,26,3.415,29.652,2
1,0,12,0,36,3.415,29.652,2
0,0,0,0,23,12.35,36.45,1
0,0,0,0,42,12.35,36.45,1
0,0,0,0,12,12.35,36.45,1
0,0,0,0,17,12.35,36.45,1
1,0,24,0,21,3.415,29.652,2
0,0,0,0,9,12.35,36.45,1
1,0,5,0,16,3.415,29.652,2
0,0,0,0,43,12.35,36.45,1
1,0,24,0,33,3.415,29.652,2
0,0,0,0,36,12.35,36.45,1
1,0,21,0,1,3.415,31.717000000000002,2
1,0,36,0,33,3.415,31.717000000000002,2
0,0,0,0,31,12.35,36.45,1
1,0,12,0,0,3.415,31.717000000000002,2
0,0,0,0,30,12.35,36.45,1
0,0,0,0,9,12.35,36.45,1
0,0,0,0,30,12.35,36.45,1
1,0,8,0,22,3.415,31.717000000000002,2
1,0,37,0,17,3.415,31.717000000000002,2
1,0,10,0,28,3.415,31.717000000000002,2
1,0,6,0,29,3.415,31.717000000000002,2
0,0,0,0,16,12.35,36.45,1
1,0,6,0,43,3.415,31.717000000000002,2
1,0,22,0,21,3.415,31.717000000000002,2
1,0,33,0,37,3.415,31.717000000000002,2
0,0,0,0,9,12.35,36.45,1
0,0,0,0,5,12.35,36.45,1
1,0,14,0,22,3.415,31.717000000000002,2
1,0,9,0,33,6.27,31.717000000000002,2
3,0,44,0,20,12.35,36.45,1
1,0,32,0,7,6.27,31.717000000000002,2
0,0,34,0,36,12.35,36.45,1
1,0,21,0,44,6.27,31.717000000000002,2
1,0,21,0,22,6.27,31.717000000000002,2
2,0,45,0,8,12.35,36.45,1
0,0,0,0,32,12.35,36.45,1
0,0,0,0,19,12.35,36.45,1
0,0,0,0,30,12.35,36.45,1
1,0,14,0,22,6.27,31.717000000000002,2
1,0,21,0,22,6.27,31.717000000000002,2
1,0,18,0,0,6.27,31.717000000000002,2
1,0,32,0,18,6.27,31.717000000000002,2
1,0,11,0,13,6.27,31.717000000000002,2
1,0,35,0,58,6.27,33.370000000000005,2
0,0,0,0,31,12.35,36.45,1
1,0,16,0,15,6.27,33.370000000000005,2
0,0,0,0,47,13.5,36.45,1
0,0,23,0,5,13.5,36.45,1
1,0,30,0,0,6.27,33.370000000000005,2
1,0,25,0,6,6.27,33.370000000000005,2
1,0,18,0,10,6.27,33.370000000000005,2
0,0,0,0,22,13.5,36.45,1
1,0,6,0,24,6.27,33.370000000000005,2
1,0,9,0,7,6.27,33.370000000000005,2
0,0,0,0,17,13.5,36.45,1
1,0,4,0,48,6.27,33.370000000000005,2
2,0,10,0,53,13.5,36.45,1
1,0,13,0,20,6.27,33.370000000000005,2
1,0,11,0,18,6.27,33.370000000000005,2
0,0,0,0,42,13.5,36.45,1
1,0,18,0,6,6.27,33.370000000000005,2
2,0,45,0,6,13.5,36.45,1
1,0,24,0,34,6.27,33.370000000000005,2
1,0,21,0,35,6.27,33.370000000000005,2
1,0,12,0,27,6.27,33.370000000000005,2
0,0,0,0,42,13.5,36.45,1
0,0,0,0,8,13.5,36.45,1
1,0,24,0,28,6.27,33.370000000000005,2
1,0,16,0,22,6.27,33.370000000000005,2
1,0,30,0,9,6.27,33.370000000000005,2
0,0,0,0,6,6.27,33.370000000000005,2
1,0,7,0,24,6.27,33.370000000000005,2
0,0,0,0,13,6.27,33.370000000000005,2
1,0,31,0,7,6.27,33.370000000000005,2
0,0,0,0,18,6.27,34.980000000000004,2
0,0,34,0,2,6.27,34.980000000000004,2
0,0,23,0,14,6.27,34.980000000000004,2
1,0,24,0,7,6.27,34.980000000000004,2
1,0,28,0,24,6.27,34.980000000000004,2
1,0,12,0,22,6.27,34.980000000000004,2
1,0,7,0,53,6.27,34.980000000000004,2
0,0,0,0,38,6.27,34.980000000000004,2
0,0,23,0,32,6.27,34.980000000000004,2
1,0,12,0,9,6.27,34.980000000000004,2
0,0,0,0,16,6.27,34.980000000000004,2
0,0,0,0,0,6.27,34.980000000000004,2
1,0,9,0,7,6.27,34.980000000000004,2
1,0,25,0,35,6.27,34.980000000000004,2
1,0,11,0,7,6.27,36.45,2
3,0,46,0,26,13.5,36.45,1
0,0,0,0,0,6.27,36.45,2
0,0,0,0,10,6.27,36.45,2
1,0,25,0,35,6.27,36.45,2
1,0,20,0,11,6.27,36.45,2
1,0,20,0,8,6.27,36.45,2
2,0,19,0,18,13.5,36.45,1
1,0,21,0,6,6.27,36.45,2
0,0,34,0,30,6.27,36.45,2
2,0,10,0,7,13.5,36.45,1
1,0,13,0,11,6.27,36.45,2
2,0,52,0,31,13.5,36.45,1
0,0,0,0,0,6.27,36.45,2
0,0,0,0,26,6.27,36.45,2
1,0,7,0,23,6.27,36.45,2
0,0,34,0,34,6.27,36.45,2
0,0,0,0,57,6.995,36.45,2
1,0,24,0,33,6.995,36.45,2
0,0,0,0,24,6.995,36.45,2
0,0,0,0,0,6.995,36.45,2
3,0,46,0,38,13.5,36.45,1
0,0,0,0,32,6.995,36.45,2
1,0,31,0,46,6.995,36.45,2
2,0,19,0,30,13.5,37.875,1
0,0,0,0,10,6.995,36.45,2
1,0,27,0,0,6.995,36.45,2
1,0,26,0,4,6.995,37.875,2
1,0,60,0,45,6.995,37.875,2
0,0,47,0,20,6.995,37.875,2
0,0,0,0,10,6.995,37.875,2
1,0,13,0,45,6.995,37.875,2
0,0,0,0,24,6.995,37.875,2
2,0,56,0,22,13.5,37.875,1
1,0,7,0,9,6.995,37.875,2
1,0,18,0,11,6.995,37.875,2
1,0,30,0,18,6.995,37.875,2
1,0,31,0,16,6.995,37.875,2
0,0,0,0,12,6.995,37.875,2
0,0,0,0,24,6.995,37.875,2
1,0,6,0,26,6.995,37.875,2
0,0,0,0,27,6.995,37.875,2
1,0,12,0,38,6.995,37.875,2
0,0,23,0,22,6.995,37.875,2
0,0,0,0,47,6.995,37.875,2
0,0,0,0,7,6.995,37.875,2
1,0,14,0,31,6.995,37.875,2
0,0,0,0,18,6.995,37.875,2
0,0,0,0,7,6.995,37.875,2
1,0,24,0,-2,6.995,39.315,2
1,0,12,0,2,6.995,39.315,2
1,0,9,0,16,6.995,39.315,2
1,0,30,0,20,6.995,39.315,2
0,0,0,0,17,6.995,39.315,2
0,0,0,0,22,6.995,39.315,2
1,0,22,0,10,6.995,39.315,2
0,0,0,0,35,6.995,39.315,2
0,0,0,0,23,6.995,39.315,2
1,0,5,0,28,6.995,39.315,2
2,0,17,0,28,13.5,37.875,1
1,0,5,0,26,6.995,39.315,2
2,0,10,0,27,13.5,37.875,1
0,0,0,0,12,6.995,39.315,2
1,0,9,0,30,6.995,39.315,2
2,0,45,0,34,13.5,37.875,1
0,0,0,0,4,6.995,39.315,2
1,0,12,0,10,6.995,39.315,2
1,0,36,0,6,6.995,39.315,2
1,0,26,0,30,6.995,39.315,2
2,0,52,0,31,13.5,37.875,1
2,0,10,0,34,13.5,37.875,1
1,0,4,0,8,6.995,39.315,2
1,0,6,0,8,6.995,39.315,2
1,0,37,0,32,6.995,39.315,2
1,0,36,0,17,6.995,39.315,2
0,0,0,0,13,6.995,39.315,2
1,0,30,0,0,6.995,39.315,2
1,0,4,0,11,6.995,39.315,2
1,0,24,0,13,6.995,40.67,2
1,0,7,0,1,6.995,40.67,2
2,0,19,0,31,13.5,37.875,1
1,0,6,0,22,6.995,40.67,2
0,0,47,0,17,6.995,40.67,2
1,0,31,0,35,6.995,40.67,2
1,0,8,0,0,6.995,40.67,2
2,0,48,0,12,13.5,37.875,1
1,0,41,0,34,6.995,40.67,2
1,0,7,0,13,7.67,40.67,2
1,0,8,0,16,7.67,40.67,2
1,0,30,0,27,7.67,40.67,2
0,0,0,0,11,7.67,40.67,2
1,0,38,0,11,7.67,40.67,2
1,0,14,0,1,7.67,40.67,2
1,0,21,0,34,7.67,40.67,2
1,0,20,0,24,7.67,40.67,2
1,0,24,0,7,7.67,40.67,2
0,0,0,0,19,7.67,40.67,2
1,0,41,0,24,7.67,40.67,2
1,0,63,0,12,7.67,40.67,2
0,0,0,0,9,7.67,40.67,2
2,0,52,0,33,13.5,37.875,1
1,0,18,0,10,7.67,40.67,2
2,0,42,0,7,13.5,37.875,1
0,0,40,0,19,7.67,40.67,2
1,0,30,0,25,7.67,40.67,2
1,0,6,0,16,7.67,40.67,2
1,0,8,0,25,7.67,40.67,2
2,0,10,0,13,13.5,37.875,1
0,0,0,0,2,7.67,40.67,2
1,0,8,0,14,7.67,40.67,2
1,0,7,0,30,7.67,40.67,2
0,0,0,0,7,8.530000000000001,40.67,2
0,0,0,0,31,8.530000000000001,40.67,2
0,0,0,0,12,8.530000000000001,40.67,2
0,0,0,0,10,8.530000000000001,40.67,2
1,0,15,0,6,8.530000000000001,40.67,2
0,0,0,0,40,8.530000000000001,40.67,2
0,0,0,0,21,8.530000000000001,40.67,2
0,0,0,0,10,8.530000000000001,40.67,2
1,0,6,0,33,8.530000000000001,40.67,2
1,0,35,0,27,8.530000000000001,40.67,2
1,0,63,0,13,8.530000000000001,40.67,2
1,0,6,0,27,8.530000000000001,40.67,2
0,0,0,0,7,8.530000000000001,40.67,2
1,0,6,0,31,8.530000000000001,43.345,2
1,0,20,0,50,8.530000000000001,43.345,2
1,0,12,0,39,8.530000000000001,43.345,2
1,0,24,0,25,8.530000000000001,43.345,2
1,0,22,0,24,8.530000000000001,43.345,2
1,0,24,0,7,8.530000000000001,43.345,2
0,0,0,0,20,8.530000000000001,43.345,2
1,0,34,0,45,9.5,43.345,2
1,0,39,0,16,9.5,43.345,2
0,0,0,0,10,9.5,43.345,2
2,0,19,0,37,13.5,37.875,1
0,0,0,0,45,9.5,43.345,2
1,0,41,0,18,9.5,43.345,2
0,0,0,0,30,9.5,43.345,2
0,0,47,0,7,9.5,43.345,2
1,0,36,0,52,9.5,43.345,2
1,0,25,0,41,3.415,29.652,3
0,0,0,0,24,9.5,43.345,2
1,0,16,0,0,3.415,29.652,3
1,0,24,0,6,3.415,29.652,3
1,0,7,0,20,3.415,29.652,3
1,0,21,0,13,3.415,29.652,3
2,0,19,0,12,13.5,37.875,1
1,0,14,0,30,3.415,29.652,3
2,0,19,0,10,13.5,37.875,1
1,0,34,0,12,3.415,29.652,3
0,0,0,0,34,9.5,43.345,2
1,0,12,0,5,3.415,29.652,3
1,0,35,0,50,3.415,29.652,3
1,0,8,0,36,3.415,29.652,3
2,0,17,0,11,13.5,37.875,1
1,0,22,0,19,3.415,29.652,3
2,0,43,0,42,13.5,37.875,1
0,0,0,0,10,9.5,43.345,2
0,0,0,0,9,9.5,43.345,2
1,0,6,0,2,3.415,29.652,3
0,0,0,0,27,9.5,43.345,2
1,0,18,0,0,3.415,29.652,3
1,0,7,0,13,3.415,29.652,3
0,0,0,0,36,9.5,43.345,2
0,0,0,0,28,9.5,43.345,2
1,0,9,0,10,3.415,29.652,3
0,0,54,0,19,9.5,43.345,2
1,0,26,0,26,3.415,29.652,3
0,0,0,0,49,9.5,43.345,2
3,0,46,0,18,13.5,37.875,1
1,0,26,0,23,3.415,29.652,3
0,0,0,0,-2,9.5,43.345,2
1,0,25,0,10,3.415,29.652,3
1,0,15,0,7,3.415,29.652,3
1,0,27,0,29,3.415,29.652,3
0,0,0,0,29,9.5,43.345,2
1,0,33,0,13,3.415,29.652,3
0,0,0,0,27,9.5,43.345,2
0,0,0,0,52,9.5,43.345,2
2,0,58,0,36,13.5,37.875,1
1,0,7,0,14,3.415,29.652,3
0,0,0,0,31,9.5,43.345,2
1,0,8,0,13,3.415,29.652,3
1,0,18,0,0,3.415,29.652,3
0,0,0,0,52,9.5,43.345,2
1,0,38,0,6,3.415,29.652,3
1,0,37,0,12,3.415,29.652,3
0,0,0,0,34,9.5,43.345,2
0,0,0,0,24,9.5,43.345,2
1,0,6,0,12,3.415,29.652,3
1,0,28,0,23,3.415,29.652,3
0,0,0,0,32,9.5,43.345,2
1,0,20,0,26,3.415,29.652,3
0,0,0,0,28,9.5,43.345,2
1,0,29,0,0,3.415,29.652,3
1,0,24,0,5,3.415,29.652,3
3,0,53,0,32,13.5,37.875,1
1,0,14,0,1,3.415,29.652,3
0,0,0,0,6,9.5,43.345,2
0,0,0,0,42,9.5,43.345,2
0,0,0,0,24,9.5,43.345,2
1,0,25,0,37,3.415,29.652,3
1,0,20,0,44,3.415,29.652,3
0,0,0,0,22,9.5,43.345,2
1,0,13,0,22,3.415,29.652,3
0,0,0,0,30,9.5,43.345,2
1,0,13,0,7,3.415,29.652,3
1,0,16,0,28,3.415,29.652,3
1,0,7,0,12,3.415,29.652,3
1,0,27,0,13,3.415,29.652,3
0,0,0,0,10,9.5,43.345,2
0,0,0,0,34,9.5,43.345,2
3,0,53,0,11,13.5,37.875,1
1,0,25,0,40,3.415,29.652,3
1,0,25,0,24,3.415,29.652,3
1,0,24,0,28,3.415,29.652,3
0,0,0,0,35,9.5,43.345,2
0,0,0,0,24,9.5,45.235,2
1,0,27,0,16,3.415,29.652,3
1,0,18,0,12,3.415,29.652,3
2,0,43,0,21,13.5,37.875,1
0,0,0,0,30,9.5,45.235,2
0,0,0,0,13,10.5,45.235,2
2,0,10,0,25,13.5,37.875,1
0,0,0,0,15,10.5,45.235,2
1,0,6,0,32,3.415,31.717000000000002,3
0,0,0,0,39,10.5,45.235,2
0,0,0,0,8,10.5,45.235,2
1,0,13,0,38,3.415,31.717000000000002,3
1,0,7,0,30,3.415,31.717000000000002,3
0,0,0,0,10,10.5,45.235,2
0,0,0,0,37,10.5,45.235,2
1,0,31,0,12,3.415,31.717000000000002,3
1,0,6,0,12,3.415,31.717000000000002,3
1,0,32,0,16,3.415,33.370000000000005,3
1,0,14,0,37,3.415,33.370000000000005,3
1,0,12,0,25,3.415,33.370000000000005,3
1,0,30,0,39,3.415,33.370000000000005,3
1,0,36,0,38,3.415,33.370000000000005,3
1,0,16,0,24,3.415,33.370000000000005,3
1,0,14,0,8,3.415,33.370000000000005,3
1,0,24,0,0,3.415,33.370000000000005,3
1,0,18,0,28,3.415,33.370000000000005,3
2,0,45,0,9,13.5,37.875,1
0,0,54,0,13,10.5,45.235,2
0,0,0,0,26,10.5,45.235,2
1,0,11,0,12,3.415,33.370000000000005,3
1,0,14,0,43,3.415,33.370000000000005,3
0,0,0,0,7,10.5,45.235,2
1,0,25,0,38,3.415,33.370000000000005,3
1,0,20,0,0,3.415,33.370000000000005,3
2,0,48,0,28,13.5,37.875,1
1,0,6,0,18,3.415,33.370000000000005,3
1,0,36,0,22,3.415,33.370000000000005,3
1,0,20,0,24,3.415,33.370000000000005,3
0,0,0,0,43,10.5,45.235,2
2,0,48,0,21,13.5,37.875,1
1,0,22,0,16,3.415,33.370000000000005,3
1,0,11,0,10,3.415,33.370000000000005,3
0,0,0,0,22,10.5,45.235,2
1,0,22,0,4,3.415,33.370000000000005,3
